Temperature,Forecast,WindSpeed,WindDirection,Precipitation,Pressure,From,To
14,Cloudy,4.2,229.2,0.0,1003.9,2015-04-24T14:00:00,2015-04-24T15:00:00
13,Cloudy,4.1,230.1,0.0,1003.9,2015-04-24T15:00:00,2015-04-24T16:00:00
13,Cloudy,4.3,231.6,0.0,1003.6,2015-04-24T16:00:00,2015-04-24T17:00:00
13,Cloudy,4.2,227.6,0.0,1003.2,2015-04-24T17:00:00,2015-04-24T18:00:00
11,Cloudy,3.6,266.3,0.0,1003.1,2015-04-24T18:00:00,2015-04-24T19:00:00
11,Cloudy,1.9,312.4,0.0,1002.9,2015-04-24T19:00:00,2015-04-24T20:00:00
10,Cloudy,0.8,220.6,0.0,1002.6,2015-04-24T20:00:00,2015-04-24T21:00:00
9,Cloudy,1.3,175.2,0.0,1002.4,2015-04-24T21:00:00,2015-04-24T22:00:00
9,Cloudy,1.9,174.6,0.0,1002.3,2015-04-24T22:00:00,2015-04-24T23:00:00
8,Cloudy,2.3,153.5,0.0,1002.1,2015-04-24T23:00:00,2015-04-25T00:00:00
7,Cloudy,2.7,149.8,0.0,1002.1,2015-04-25T00:00:00,2015-04-25T01:00:00
6,Cloudy,3.1,153.8,0.0,1001.9,2015-04-25T01:00:00,2015-04-25T02:00:00
6,Cloudy,3.0,163.6,0.0,1001.6,2015-04-25T02:00:00,2015-04-25T03:00:00
6,Cloudy,4.5,175.7,0.0,1001.2,2015-04-25T03:00:00,2015-04-25T04:00:00
6,Cloudy,4.8,180.3,0.0,1001.1,2015-04-25T04:00:00,2015-04-25T05:00:00
6,Cloudy,3.8,184.2,0.0,1000.9,2015-04-25T05:00:00,2015-04-25T06:00:00
7,Cloudy,2.8,186.6,0.0,1000.5,2015-04-25T06:00:00,2015-04-25T07:00:00
8,Cloudy,3.7,171.1,0.0,1000.4,2015-04-25T07:00:00,2015-04-25T08:00:00
8,Fog,3.5,172.5,0.0,1000.5,2015-04-25T08:00:00,2015-04-25T09:00:00
9,Light rain,2.3,154.2,0.1,1000.2,2015-04-25T09:00:00,2015-04-25T10:00:00
9,Rain,2.0,164.8,0.4,999.8,2015-04-25T10:00:00,2015-04-25T11:00:00
10,Rain,4.0,172.5,0.7,999.4,2015-04-25T11:00:00,2015-04-25T12:00:00
10,Heavy rain,4.8,152.2,1.1,998.9,2015-04-25T12:00:00,2015-04-25T13:00:00
10,Rain,4.0,161.1,0.6,998.5,2015-04-25T13:00:00,2015-04-25T14:00:00
10,Rain,3.3,172.9,0.4,998.1,2015-04-25T14:00:00,2015-04-25T15:00:00
10,Fog,4.0,166.3,0.0,997.5,2015-04-25T15:00:00,2015-04-25T16:00:00
10,Cloudy,5.3,170.2,0.0,996.8,2015-04-25T16:00:00,2015-04-25T17:00:00
11,Cloudy,5.1,171.3,0.0,996.1,2015-04-25T17:00:00,2015-04-25T18:00:00
11,Cloudy,6.8,176.8,0.0,995.6,2015-04-25T18:00:00,2015-04-25T19:00:00
11,Cloudy,7.6,175.3,0.0,995.4,2015-04-25T19:00:00,2015-04-25T20:00:00
9,Cloudy,7.1,174.2,0.1,995.2,2015-04-25T20:00:00,2015-04-25T21:00:00
9,Cloudy,7.3,176.4,0.0,995.1,2015-04-25T21:00:00,2015-04-25T22:00:00
8,Cloudy,6.3,178.8,0.0,995.1,2015-04-25T22:00:00,2015-04-25T23:00:00
